id;product_value;product_name;source;destination;destination_contact;init_date;expiration_date;description;special_characteristics;weight;hight;width;status;estimated_date;delivery_time;shipping_costs;rating;owner_request_id
1;19336;Sausages;Concrete bypassing Tuna;Concrete Gloves;solid communities;Plastic enterprise;interactive;distributed;Way Human Pine;84814;45765;13507;WAITING;Cotton Agent;generating Table Islands;31179;40363;1
2;27775;transparent SDD Keyboard;bypass;Shirt Sweden Steel;up AI;Ohio Assurance transmit;Fish compress system;International Washington;Avon Port;16650;86333;217;REJECTED;paradigms full-range Frozen;Union red Car;11115;77848;2
3;81144;Afghanistan;blue architect Belize;experiences utilisation deposit;Ergonomic experiences;Hong out-of-the-box JBOD;Ergonomic Idaho experiences;Soap;Passage gold;4976;67687;41315;CHECKING;Connecticut calculate;ROI Quality;24787;20514;3
4;43382;Analyst Versatile Implementation;Lead deploy;sky;Practical;invoice;Account Facilitator;Technician;Concrete Dollar blue;21114;37996;25991;IN_DISTRIBUTION;bandwidth deposit;SCSI Account;24785;73702;4
5;58224;Steel Paradigm Mobility;Future;calculating Trinidad;copying Program Steel;access Namibia;Intelligent primary;deposit Granite Mauritius;Forward;60249;96317;58286;IN_DISTRIBUTION;mobile Keyboard;navigate Director unleash;93063;17918;5
6;38571;Alley plum monitor;Account;encoding;SDR invoice;Executive Bedfordshire;program;Market SMS;calculating white quantify;96022;6257;92431;CANCELING;Concrete sky;Vatu;3056;19650;6
7;72998;bluetooth;Point driver Cliff;holistic structure;Rustic;online Tuna Business-focused;Analyst;Hawaii yellow;Forward Maine;55434;88983;55778;DENIED;South markets;ROI;27532;91498;7
8;87188;robust Refined Dynamic;Togo Forward;cross-platform;XML;Principal Chile PNG;Loan San Facilitator;transmit gold;Lempira clicks-and-mortar executive;99093;5433;51242;IN_DISTRIBUTION;Account Cambridgeshire Representative;brand Forward;57622;88521;8
9;12878;Market;hack Soap;Rubber;Botswana Creative;Lek Market;Dinar program Savings;Human;application Sleek Steel;53493;40253;21898;INCOMPLET;e-enable Automotive cyan;Forint;12257;51329;9
10;33486;auxiliary;Bike Orchestrator;policy Motorway;Bermuda back-end;Intranet deposit;bandwidth;application;capability;30854;22950;27854;CLOSING;Accounts Lead Spain;methodology;28128;99646;10
