id;product_value;product_name;source;destination;destination_contact;init_date;expiration_date;description;special_characteristics;product_weight;status;estimated_date;delivery_time;shipping_costs;rating;route_id;producer_id
1;19336;Sausages;Concrete bypassing Tuna;Concrete Gloves;solid communities;2021-05-13T12:42:10;2021-05-13T20:34:23;Tactics;Pants;82730;WAITING;2021-05-13T15:23:55;2021-05-13T09:55:43;7541;96514;1;1
2;47160;uniform withdrawal bus;Kids;schemas Agent Internal;Table;2021-05-13T12:34:28;2021-05-13T15:13:30;Graphic copying;SDD Keyboard;5687;CANCELING;2021-05-13T22:03:22;2021-05-13T09:46:46;80099;18047;2;2
3;37689;Sweden Steel;up AI;Ohio Assurance transmit;Fish compress system;2021-05-13T13:14:47;2021-05-13T02:37:25;Frozen Avon Port;TCP;81095;IN_PROGRESS;2021-05-13T22:33:58;2021-05-13T05:13:07;28517;41845;3;3
4;44603;Creative;Principal Jewelery;Computer;Toys US Saint;2021-05-13T18:41:43;2021-05-13T12:19:39;Tasty experiences;Planner;16109;DENIED;2021-05-13T08:53:58;2021-05-13T22:29:45;7917;59966;4;4
5;34751;experiences;Hong out-of-the-box JBOD;Ergonomic Idaho experiences;Soap;2021-05-13T13:45:54;2021-05-13T13:13:24;CSS proactive;Orchard Steel;64458;SHIPPED;2021-05-13T14:02:01;2021-05-13T13:56:39;25389;13534;5;5
6;92707;customer applications Cambridgeshire;invoice Account Health;Christmas Djibouti;Vista;2021-05-13T08:15:44;2021-05-13T01:26:07;engage Metrics proactive;Buckinghamshire human-resource;47780;PRE_PROCESSED;2021-05-13T18:47:18;2021-05-13T21:43:53;25554;21114;6;6
7;37996;Investor;Concrete;SSL Borders drive;Handcrafted;2021-05-13T16:35:24;2021-05-13T05:49:46;hack Future Cambridgeshire;Trinidad neural Usability;45014;OPENING;2021-05-13T23:04:07;2021-05-13T20:51:58;44797;30214;7;7
8;1091;Namibia;Intelligent primary;deposit Granite Mauritius;Forward;2021-05-13T09:32:56;2021-05-13T00:53:34;Global Paradigm;models;37168;CLOSING;2021-05-13T00:41:38;2021-05-13T15:34:23;80250;40079;8;8
9;75628;Directives Central mission-critical;monitor;Account;encoding;2021-05-13T15:55:30;2021-05-13T07:45:43;Prairie Web Plastic;bypassing;88319;CANCELING;2021-05-13T13:13:50;2021-05-13T09:37:30;33508;36783;9;9
10;85770;impactful program Robust;compelling Customer;plum;one-to-one AGP;2021-05-13T19:17:34;2021-05-13T06:29:22;bluetooth;Point driver Cliff;56119;CLOSED;2021-05-13T00:35:01;2021-05-13T22:18:39;30933;88436;10;10
